fpr,tpr
0.3397040690505549,1.0
0.34689683518290176,1.0
0.34730785039046447,1.0
0.3616933826551582,1.0
0.3621043978627209,1.0
0.3692971639950678,1.0
0.3697081792026305,1.0
0.37402383888203866,1.0
0.3744348540896013,1.0
0.37628442252363337,1.0
0.37669543773119607,1.0
0.38162762022194824,1.0
0.3824496506370736,1.0
0.3840937114673243,1.0
0.38491574188244965,1.0
0.3873818331278257,1.0
0.3877928483353884,1.0
0.39066995478832717,1.0
0.39108096999588987,1.0
0.3935470612412659,1.0
0.39395807644882863,1.0
0.3941635840526099,1.0
0.39457459926017263,1.0
0.396013152486642,1.0
0.3964241676942047,1.0
0.4097821619399918,1.0
0.4103986847513358,1.0
0.4108096999588985,1.0
0.41122071516646114,1.0
0.41471434443074395,1.0
0.4151253596383066,1.0
0.41594739005343195,1.0
0.41635840526099466,1.0
0.41841348129880807,1.0
0.4188244965063707,1.0
0.4251952322235923,1.0
0.42560624743115494,1.0
0.43012741471434446,1.0
0.4305384299219071,1.0
0.43074393752568846,1.0
0.4311549527332511,1.0
0.4395807644882861,1.0
0.43999177969584874,1.0
0.4443074393752569,1.0
0.44471845458281956,1.0
0.4453349773941636,1.0
0.4459515002055076,1.0
0.44615700780928896,1.0
0.4465680230168516,1.0
0.4568434032059186,1.0
0.4572544184134813,1.0
0.45910398684751336,1.0
0.45951500205507606,1.0
0.46054254007398276,1.0
0.4648581997533909,1.0
0.46609124537607893,1.0
0.47102342786683105,1.0
0.47143444307439375,1.0
0.4753390875462392,1.0
0.4757501027538019,1.0
0.48068228524455403,1.0
0.4812988080558981,1.0
0.4862309905466502,1.0
0.4870530209617756,1.0
0.48849157418824496,1.0
0.48993012741471437,1.0
0.49013563501849566,1.0
0.49054665022605837,1.0
0.4958898479243732,1.0
0.4963008631319359,1.0
0.5024660912453761,1.0
0.5030826140567201,1.0
0.5053431976983148,1.0
0.5061652281134402,1.0
0.5063707357172216,1.0
0.5073982737361282,1.0
0.511508425811755,1.0
0.5121249486230991,1.0
0.5244554048499794,1.0
0.5248664200575421,1.0
0.5265104808877928,1.0
0.5269214960953555,1.0
0.5271270036991369,1.0
0.5275380189066996,1.0
0.5283600493218249,1.0
0.530826140567201,1.0
0.5312371557747637,1.0
0.5374023838882038,1.0
0.5378133990957665,1.0
0.5394574599260172,1.0
0.5400739827373613,1.0
0.5419235511713933,1.0
0.542334566378956,1.0
0.5456226880394575,1.0
0.5460337032470202,1.0
0.5524044389642416,1.0
0.553226469379367,1.0
0.5647348951911221,1.0
0.5651459103986848,1.0
0.5655569256062475,1.0
0.5661734484175914,1.0
0.5704891080969996,1.0
0.5709001233045623,1.0
0.5754212905877517,1.0
0.5758323057953144,1.0
0.5766543362104398,1.0
0.5774763666255651,1.0
0.5778873818331278,1.0
0.5782983970406905,1.0
0.5789149198520345,1.0
0.5793259350595972,1.0
0.5799424578709412,1.0
0.5809699958898479,1.0
0.5813810110974106,1.0
0.5873407316070695,1.0
0.5877517468146322,1.0
0.5885737772297575,1.0
0.5889847924373202,1.0
0.5898068228524456,1.0
0.5904233456637895,1.0
0.591861898890259,1.0
0.5922729140978216,1.0
0.5955610357583231,1.0
0.5957665433621044,1.0
0.596177558569667,1.0
0.604603370324702,1.0
0.6050143855322647,1.0
0.6054254007398274,1.0
0.60583641594739,1.0
0.6080969995889848,1.0
0.6085080147965475,1.0
0.623921085080148,1.0
0.6243321002877107,1.0
0.636046033703247,1.0
0.636662556514591,1.0
0.646321413892314,1.0
0.6469379367036581,1.0
0.6494040279490341,1.0
0.6500205507603781,1.0
0.6516646115906288,1.0
0.6522811344019729,1.0
0.6524866420057542,1.0
0.6533086724208795,1.0
0.6557747636662556,1.0
0.6561857788738183,1.0
0.6609124537607891,1.0
0.6613234689683518,1.0
0.6617344841759145,1.0
0.6623510069872586,1.0
0.6648170982326346,1.0
0.6654336210439786,1.0
0.6670776818742293,1.0
0.6676942046855734,1.0
0.6804356761200164,1.0
0.6810521989313605,1.0
0.688039457459926,1.0
0.6884504726674887,1.0
0.6929716399506781,1.0
0.6933826551582408,1.0
0.6942046855733662,1.0
0.6950267159884915,1.0
0.6970817920263049,1.0
0.6974928072338676,1.0
0.7022194821208385,1.0
0.7030415125359638,1.0
0.7057131113851213,1.0
0.706124126592684,1.0
0.7143444307439375,1.0
0.7149609535552816,1.0
0.717632552404439,1.0
0.7180435676120016,1.0
0.7203041512535964,1.0
0.7207151664611591,1.0
0.7244143033292232,1.0
0.7248253185367859,1.0
0.7344841759145089,1.0
0.7348951911220715,1.0
0.7429099876695437,1.0
0.7433210028771065,1.0
0.7439375256884505,1.0
0.7445540484997945,1.0
0.7488697081792026,1.0
0.7492807233867653,1.0
0.7527743526510481,1.0
0.7531853678586108,1.0
0.7554459515002055,1.0
0.7570900123304563,1.0
0.7583230579531443,1.0
0.758734073160707,1.0
0.7603781339909577,1.0
0.7609946568023017,1.0
0.7612001644060831,1.0
0.7620221948212084,1.0
0.7628442252363338,1.0
0.7634607480476777,1.0
0.7638717632552404,1.0
0.7644882860665845,1.0
0.7653103164817098,1.0
0.7675709001233045,1.0
0.7679819153308672,1.0
0.769009453349774,1.0
0.7694204685573366,1.0
0.7696259761611179,1.0
0.7700369913686806,1.0
0.7704480065762433,1.0
0.770859021783806,1.0
0.7741471434443075,1.0
0.7747636662556514,1.0
0.7751746814632141,1.0
0.7764077270859022,1.0
0.7782572955199343,1.0
0.7786683107274969,1.0
0.7788738183312782,1.0
0.7796958487464036,1.0
0.7813399095766543,1.0
0.781750924784217,1.0
0.7821619399917797,1.0
0.782983970406905,1.0
0.7887381833127826,1.0
0.7897657213316893,1.0
0.7903822441430333,1.0
0.7922318125770653,1.0
0.7963419646526921,1.0
0.7967529798602548,1.0
0.7973695026715989,1.0
0.7977805178791615,1.0
0.7983970406905055,1.0
0.7990135635018496,1.0
0.799219071105631,1.0
0.8000411015207562,1.0
0.8008631319358817,1.0
0.8012741471434444,1.0
0.8020961775585697,1.0
0.8027127003699137,1.0
0.8031237155774764,1.0
0.803534730785039,1.0
0.8051787916152897,1.0
0.8055898068228524,1.0
0.8060008220304151,1.0
0.8064118372379778,1.0
0.8099054665022606,1.0
0.810727496917386,1.0
0.8127825729551993,1.0
0.813193588162762,1.0
0.8140156185778874,1.0
0.8144266337854501,1.0
0.8173037402383888,1.0
0.8185367858610768,1.0
0.8193588162762022,1.0
0.8199753390875463,1.0
0.8218249075215783,1.0
0.8226469379367036,1.0
0.8288121660501439,1.0
0.8304562268803946,1.0
0.8321002877106453,1.0
0.8335388409371147,1.0
0.835593916974928,1.0
0.8364159473900534,1.0
0.8366214549938348,1.0
0.8370324702013975,1.0
0.8415536374845869,1.0
0.8419646526921496,1.0
0.8446362515413071,1.0
0.8450472667488698,1.0
0.8481298808055898,1.0
0.8497739416358405,1.0
0.8501849568434032,1.0
0.8518290176736539,1.0
0.8534730785039046,1.0
0.8573777229757501,1.0
0.8577887381833128,1.0
0.8579942457870942,1.0
0.8586107685984381,1.0
0.8590217838060008,1.0
0.8598438142211262,1.0
0.862104397862721,1.0
0.8625154130702836,1.0
0.8637484586929717,1.0
0.8655980271270037,1.0
0.866420057542129,1.0
0.8668310727496917,1.0
0.8686806411837238,1.0
0.8690916563912865,1.0
0.8734073160706947,1.0
0.8746403616933827,1.0
0.8769009453349774,1.0
0.8781339909576654,1.0
0.8789560213727908,1.0
0.8801890669954788,1.0
0.8806000822030415,1.0
0.8810110974106042,1.0
0.8814221126181668,1.0
0.8816276202219482,1.0
0.8824496506370736,1.0
0.8836826962597616,1.0
0.8842992190711056,1.0
0.8847102342786684,1.0
0.8904644471845459,1.0
0.8921085080147966,1.0
0.895396629675298,1.0
0.8968351829017673,1.0
0.8995067817509248,1.0
0.8999177969584875,1.0
0.9003288121660501,1.0
0.9009453349773942,1.0
0.9021783806000822,1.0
0.9025893958076449,1.0
0.9046444718454583,1.0
0.905055487053021,1.0
0.9083436087135224,1.0
0.9087546239210851,1.0
0.9089601315248664,1.0
0.9101931771475544,1.0
0.9110152075626798,1.0
0.9118372379778051,1.0
0.9124537607891492,1.0
0.913481298808056,1.0
0.9138923140156185,1.0
0.9143033292231812,1.0
0.914714344430744,1.0
0.915330867242088,1.0
0.9194410193177147,1.0
0.9200575421290588,1.0
0.9206740649404028,1.0
0.9210850801479655,1.0
0.9219071105630908,1.0
0.9223181257706535,1.0
0.9225236333744349,1.0
0.9229346485819976,1.0
0.9260172626387176,1.0
0.9268392930538429,1.0
0.9270448006576243,1.0
0.9278668310727497,1.0
0.928072338676531,1.0
0.9284833538840938,1.0
0.9288943690916563,1.0
0.9301274147143445,1.0
0.9305384299219072,1.0
0.9307439375256884,1.0
0.9311549527332511,1.0
0.9319769831483765,1.0
0.9323879983559392,1.0
0.9327990135635018,1.0
0.9332100287710645,1.0
0.9338265515824086,1.0
0.9342375667899713,1.0
0.935881627620222,1.0
0.9362926428277847,1.0
0.9364981504315659,1.0
0.9373201808466913,1.0
0.9375256884504727,1.0
0.9379367036580354,1.0
0.9381422112618167,1.0
0.938964241676942,1.0
0.9404027949034114,1.0
0.9408138101109741,1.0
0.9416358405260995,1.0
0.9420468557336621,1.0
0.9428688861487875,1.0
0.9432799013563502,1.0
0.9441019317714755,1.0
0.9445129469790382,1.0
0.9449239621866009,1.0
0.9463625154130703,1.0
0.9469790382244143,1.0
0.947390053431977,1.0
0.9478010686395396,1.0
0.9484175914508837,1.0
0.9488286066584464,1.0
0.9506781750924784,1.0
0.9510891903000411,1.0
0.9521167283189478,1.0
0.9533497739416359,1.0
0.9537607891491985,1.0
0.9543773119605425,1.0
0.9547883271681052,1.0
0.9556103575832305,1.0
0.9568434032059187,1.0
0.9572544184134812,1.0
0.9578709412248253,1.0
0.958281956432388,1.0
0.9605425400739828,1.0
0.9617755856966708,1.0
0.9621866009042335,1.0
0.9625976161117962,1.0
0.9632141389231401,1.0
0.9636251541307028,1.0
0.9646526921496096,1.0
0.9654747225647349,1.0
0.9677353062063296,1.0
